,US UniICD,System,Description
266,9:0204,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
267,9:0205,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
268,9:0208,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
269,9:0209,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
270,9:021,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
271,9:0210,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
272,9:0211,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
273,9:0212,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
274,9:0213,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
275,9:0218,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
276,9:0219,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
277,9:022,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
278,9:0220,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
279,9:0221,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
280,9:0222,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
281,9:0223,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
282,9:0228,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
283,9:0229,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
284,9:023,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
285,9:0230,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
286,9:0231,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
287,9:0232,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
288,9:0233,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
289,9:0238,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
290,9:0239,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
291,9:024,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
292,9:025,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
293,9:026,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
294,9:0260,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
295,9:0261,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
296,9:0269,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
297,9:027,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
298,9:0271,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
299,9:0272,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
300,9:0278,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
301,9:0279,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
302,9:078,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
303,9:0783,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
304,9:100,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
305,9:1000,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
306,9:1008,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
307,9:10081,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
308,9:10089,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
309,9:1009,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
310,9:484,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
311,9:4845,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
312,9:995,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
313,9:9959,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
314,9:99591,"Bacterial infections, and other intestinal infectious diseases, and STDs",Certain zoonotic bacterial diseases
315,10:A50,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
316,10:A51,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
317,10:A52,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
318,10:A53,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
319,10:A54,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
320,10:A55,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
321,10:A56,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
322,10:A57,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
323,10:A58,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
324,10:A59,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
325,10:A60,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
326,10:A63,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
327,10:A64,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
328,8:054,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
329,8:067,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
330,8:079,"Bacterial infections, and other intestinal infectious diseases, and STDs",Infections with a predominantly sexual mode of transmission
