ICD10,System,Description
E28,Endocrine diseases,"Gonads / Estrogen, androgens, testosterone, etc."
E29,Endocrine diseases,"Gonads / Estrogen, androgens, testosterone, etc."
E30,Endocrine diseases,"Gonads / Estrogen, androgens, testosterone, etc."
E31,Endocrine diseases,Other endocrine diseases
E32,Endocrine diseases,Other endocrine diseases
E33,Endocrine diseases,Other endocrine diseases
E34,Endocrine diseases,Other endocrine diseases
E35,Endocrine diseases,Other endocrine diseases
E36,Endocrine diseases,Intraoperative complications of endocrine system
E40,Nutritional diseases,Malnutrition
E41,Nutritional diseases,Malnutrition
E42,Nutritional diseases,Malnutrition
E43,Nutritional diseases,Malnutrition
E44,Nutritional diseases,Malnutrition
E45,Nutritional diseases,Malnutrition
E46,Nutritional diseases,Malnutrition
E50,Nutritional diseases,Other nutritional deficiencies
E51,Nutritional diseases,Other nutritional deficiencies
E52,Nutritional diseases,Other nutritional deficiencies
E53,Nutritional diseases,Other nutritional deficiencies
E54,Nutritional diseases,Other nutritional deficiencies
E55,Nutritional diseases,Other nutritional deficiencies
E56,Nutritional diseases,Other nutritional deficiencies
E57,Nutritional diseases,Other nutritional deficiencies
E58,Nutritional diseases,Other nutritional deficiencies
E59,Nutritional diseases,Other nutritional deficiencies
E60,Nutritional diseases,Other nutritional deficiencies
E61,Nutritional diseases,Other nutritional deficiencies
E62,Nutritional diseases,Other nutritional deficiencies
E63,Nutritional diseases,Other nutritional deficiencies
E64,Nutritional diseases,Other nutritional deficiencies
E65,Nutritional diseases,Obesity and other hyperalimentation
E66,Nutritional diseases,Obesity and other hyperalimentation
E67,Nutritional diseases,Obesity and other hyperalimentation
E68,Nutritional diseases,Obesity and other hyperalimentation
E70,Metabolic diseases,Amino-acids
E71,Metabolic diseases,Amino-acids
E72,Metabolic diseases,Amino-acids
E73,Metabolic diseases,Carbohydrates
E74,Metabolic diseases,Carbohydrates
E75,Metabolic diseases,Lipids
E76,Metabolic diseases,Combinations
E77,Metabolic diseases,Combinations
E78,Metabolic diseases,Combinations
E79,Metabolic diseases,Other metabolic disorders
E80,Metabolic diseases,Other metabolic disorders
E81,Metabolic diseases,Other metabolic disorders
E82,Metabolic diseases,Other metabolic disorders
E83,Metabolic diseases,Other metabolic disorders
E84,Metabolic diseases,Other metabolic disorders
E85,Metabolic diseases,Other metabolic disorders
E86,Metabolic diseases,Other metabolic disorders
E87,Metabolic diseases,Other metabolic disorders
E88,Metabolic diseases,Other metabolic disorders
E89,Metabolic diseases,Other metabolic disorders
E90,Metabolic diseases,Other metabolic disorders
F00,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F01,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F02,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F03,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F04,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F05,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F06,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F07,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F08,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F09,Mental and behavioural disorders,"Organic, including symptomatic, mental disorders"
F10,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F11,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F12,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F13,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F14,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F15,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F16,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F17,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F18,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F19,Mental and behavioural disorders,Mental and behavioural disorders due to psychoactive substance use
F20,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F21,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F22,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F23,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F24,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F25,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F26,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F27,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F28,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F29,Mental and behavioural disorders,"Schizophrenia, schizotypal and delusional disorders"
F30,Mental and behavioural disorders,Mood (affective) disorders
F31,Mental and behavioural disorders,Mood (affective) disorders
F32,Mental and behavioural disorders,Mood (affective) disorders
F33,Mental and behavioural disorders,Mood (affective) disorders
F34,Mental and behavioural disorders,Mood (affective) disorders
F35,Mental and behavioural disorders,Mood (affective) disorders
F36,Mental and behavioural disorders,Mood (affective) disorders
F37,Mental and behavioural disorders,Mood (affective) disorders
F38,Mental and behavioural disorders,Mood (affective) disorders
F39,Mental and behavioural disorders,Mood (affective) disorders
F40,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F41,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F42,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F43,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F44,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F45,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F46,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F47,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F48,Mental and behavioural disorders,"Neurotic, stress-related and somatoform disorders"
F50,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F51,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F52,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F53,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F54,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F55,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F56,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F57,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F58,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F59,Mental and behavioural disorders,Behavioural syndromes associated with physiological disturbances and physical factors
F60,Mental and behavioural disorders,Disorders of adult personality and behaviour
F61,Mental and behavioural disorders,Disorders of adult personality and behaviour
F62,Mental and behavioural disorders,Disorders of adult personality and behaviour
F63,Mental and behavioural disorders,Disorders of adult personality and behaviour
F64,Mental and behavioural disorders,Disorders of adult personality and behaviour
F65,Mental and behavioural disorders,Disorders of adult personality and behaviour
F66,Mental and behavioural disorders,Disorders of adult personality and behaviour
F67,Mental and behavioural disorders,Disorders of adult personality and behaviour
F68,Mental and behavioural disorders,Disorders of adult personality and behaviour
F69,Mental and behavioural disorders,Disorders of adult personality and behaviour
F70,Mental and behavioural disorders,Mental retardation
F71,Mental and behavioural disorders,Mental retardation
F72,Mental and behavioural disorders,Mental retardation
F73,Mental and behavioural disorders,Mental retardation
F74,Mental and behavioural disorders,Mental retardation
F75,Mental and behavioural disorders,Mental retardation
F76,Mental and behavioural disorders,Mental retardation
F77,Mental and behavioural disorders,Mental retardation
F78,Mental and behavioural disorders,Mental retardation
F79,Mental and behavioural disorders,Mental retardation
F80,Mental and behavioural disorders,Disorders of psychological development
F81,Mental and behavioural disorders,Disorders of psychological development
F82,Mental and behavioural disorders,Disorders of psychological development
F83,Mental and behavioural disorders,Disorders of psychological development
F84,Mental and behavioural disorders,Disorders of psychological development
F85,Mental and behavioural disorders,Disorders of psychological development
F86,Mental and behavioural disorders,Disorders of psychological development
F87,Mental and behavioural disorders,Disorders of psychological development
F88,Mental and behavioural disorders,Disorders of psychological development
F89,Mental and behavioural disorders,Disorders of psychological development
F90,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F91,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F92,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F93,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F94,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F95,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F96,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F97,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F98,Mental and behavioural disorders,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
F99,Mental and behavioural disorders,Unspecified mental disorder
G00,Diseases of the nervous system,Inflammatory diseases of the central nervous system
